Carrier|Service|Container Type|Weight Not Over Oz|Cost Zone 1|Cost Zone 2|Cost Zone 3|Cost Zone 4|Cost Zone 5|Cost Zone 6|Cost Zone 7|Cost Zone 8|Cost Zone 9|Cost Zone Ddu|Cost Zone Scf|Cost Zone Ndc|Cost Zone Ddu Out 48|Cost Zone Scf Out 48|Cost Zone Ndc Out 48|Charge Zone 1|Charge Zone 2|Charge Zone 3|Charge Zone 4|Charge Zone 5|Charge Zone 6|Charge Zone 7|Charge Zone 8|Charge Zone 9|Charge Zone Ddu|Charge Zone Scf|Charge Zone Ndc|Charge Zone Ddu Out 48|Charge Zone Scf Out 48|Charge Zone Ndc Out 48
USPS|EXPRESS_MAIL|PACKAGE|560|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|544|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|528|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|512|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|240|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|224|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|192|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|176|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|160|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|144|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|96|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|64|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|32|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
USPS|EXPRESS_MAIL|PACKAGE|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
UPS|GROUND|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0|0
UPS|NEXT_DAY_AIR|PACKAGE|32000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0.24|0|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1120|45.24|45.24|49.63|67.32|89.31|113.36|135.17|166.61|305.03|0|0|0|0|0|0|45.48|45.48|49.87|67.56|89.55|113.6|135.41|166.85|305.27|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1072|43.65|43.65|48.72|64.61|88.51|109.24|133.33|161.25|295.47|0|0|0|0|0|0|43.89|43.89|48.96|64.85|88.75|109.48|133.57|161.49|295.71|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|1056|43|43|48.42|63.52|88.19|108.89|132.79|159.21|291.63|0|0|0|0|0|0|43.24|43.24|48.66|63.76|88.43|109.13|133.03|159.45|291.87|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|976|40.2|40.2|46.88|61.17|86.28|106.41|128.9|147.09|270.08|0|0|0|0|0|0|40.44|40.44|47.12|61.41|86.52|106.65|129.14|147.33|270.32|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|960|39.55|39.55|46.59|60.7|85.86|105.81|127.4|145.04|266.46|0|0|0|0|0|0|39.79|39.79|46.83|60.94|86.1|106.05|127.64|145.28|266.7|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|944|39.06|39.06|46.29|60.24|85.37|105.27|126.59|144.11|264.6|0|0|0|0|0|0|39.3|39.3|46.53|60.48|85.61|105.51|126.83|144.35|264.84|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|768|23.23|23.23|29.32|37.15|51.39|64.19|74.13|88.15|233.77|0|0|0|0|0|0|23.47|23.47|23.47|29.56|37.39|51.63|64.43|74.37|88.39|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|752|23.04|23.04|29.11|36.85|50.63|63.38|73.44|87.21|231.25|0|0|0|0|0|0|23.28|23.28|23.28|29.35|37.09|50.87|63.62|73.68|87.45|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|736|22.88|22.88|28.9|36.54|49.86|62.72|72.61|86.25|228.69|0|0|0|0|0|0|23.12|23.12|23.12|29.14|36.78|50.1|62.96|72.85|86.49|0|0|0|0|0|0
USPS|PRIORITY_MAIL|PACKAGE|720|22.67|22.67|28.7|36.23|49.08|62.03|71.83|85.23|226.01|0|0|0|0|0|0|22.91|22.91|22.91|28.94|36.47|49.32|62.27|72.07|85.47|0|0|0|0|0|0
